NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,427.7434405995348
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,448.68352979874953
b38a03232f43b11c9d0788abaf060f7366053b6d,598.6951309793438
70b682d9a3636be23f6120fa9d6b164eb3c6002d,98.3724175685426
715494628a50142ce8cb17191cfe6d0f3cae0934,533.6319017149517
e656d6bad65c93fb2880f1eba5037008c8e75774,469.25661679037194
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,532.3376568080901
11539e86171bf07d3a36f09377d7f54ebcc8406a,440.9756188616246
043c544a2104aa8a9849f1a703a08d37a2f16839,477.1913202892935
76ba050e64ad100b856f0eaabd8f539d5c7dd185,464.26243247629543
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,98.3724175685426
db4da599aab5bb08dce27094a35fd3e36cd0abce,98.3724175685426
940aede382ccb332fab15d413217695ec44ca765,452.52452583638524
9ad714b116da76d878dd399d187fccc2dd13dd63,584.9227511231417
dd34464a4d780b12a089347ad580418ac57a3055,539.1082312929236
f837a4cb05a5fd59d20138182f5e8c721eadd584,445.5795359214797
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,98.3724175685426
ca8477c8493b09f34d17bb287f9bacf2dd744c32,98.3724175685426
8b0c675d7fde14953668269d378c588f0df0498b,98.3724175685426
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,423.8348899538155
3d203727f27abd83b71732d88d8cb1cc099f363b,446.24915440212584
d30d31c8ff45094e9a992c63d4a6f68b245a341a,499.5727744409986
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,98.3724175685426
cbc301183dec912f3513ca766bf03dd565f3a38f,464.7497265214905
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,640.1443596399121
11282da1ee78c8db45a041db4c744e33df489df0,441.78794761784246
03c67f683a415c2ea09b582248bd4cb08528c19d,599.2935981982932
046e844fb06a07ba30b41521f0065a8d9c6e5024,424.5943204741607
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,435.6731631959189
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,98.3724175685426
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,98.3724175685426
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,423.0150196541158
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,566.6877631030803
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,491.7195765920527
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,513.8271394233005
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,493.5311224650892
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,457.779065559939
59bfa081e020013410d9f60f91813964ba749bb2,433.6577782976346
f5e069ee3bc95998464e8ff5da048b7f999921ed,450.47943915038707
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,630.2245755766904
664f44258212a1f7e4086f2b4845d586c543fa3f,471.5797259370687
265cd7befa74a9f2a198fc57baec9858075f8419,425.03006832819017
6f9ac44919bbd204e0ef15185388fd2d4bc61253,491.38279152765665
78de1ee60b55766cc3eba4089e36c57139b66ebd,460.4722703097274
24550edb10f283ef4e953fd6a8fedbfa211bd456,98.3724175685426
1e61a474acdc043eb39a89c17fab34bd2ea1a940,429.24904313214466
940af68ded6af2875708611051aa7ff3f134d80b,475.92269831229527
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,490.82667507244713
c76ddf6e9f80984e901b12f9462a3cf029bea290,444.83661052225574
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,450.68703781908533
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,507.0675928444833
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,110.63222541347541
92823d467a2ced9529801e0e8a94802dd88f0c17,435.5801901134908
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,585.1157287366442
413cbb38b2e2522f8167ffb9daeac1347b281393,457.2259124848548
68985fad004092956a4b4ce94dd53dc76d07eaf7,506.25668138370537
bdca9aeb19521675af15f2c28d86f6bebc45a834,472.8105249508857
b65b19d42b7a4b644fe9f99366dcb37b120862d9,439.3414216281674
eda898aa8ec465cbac70de72ead0c6d688e5f95a,429.577972761398
5357b6c09be4c7f3829b72f80de846a9228253cb,98.3724175685426
8d5c4481d736f6ce27976e400f4245bf10757608,422.56925441812405
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,98.3724175685426
089613ac7dca24109f84c72a97c83b2768b1df1c,98.3724175685426
527773409bf373301dbd835e59a263c035c043b8,98.3724175685426
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,98.3724175685426
c4cea54435c0fd0e171eed4c215479bb3ca86113,446.88027663251887
7d5cd89c6112b9a202a025a24355135bc60848c6,466.69572984426793
b70ab62384aa80545928a311f5b5d3db2f4d87ee,535.9580810770995
c96431dd924f366d2229a7f1455388b8cd85be49,551.0955567895161
1b72da5bb82cc150ecfe71218c02f155d694230b,98.3724175685426
e429507efe1c2680cc464481850117d17083cd88,98.3724175685426
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,426.2871720559584
e724482370ae6126008ade80b564ad8d8a0a7cbd,455.41133404459
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,656.821225500675
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,98.3724175685426
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,465.7358126844988
7f898f8939ae054359f83ee154bb91bc7dd2c959,569.6714920287482
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,475.94476511333517
82e3b12c6366008fabc238f299f117074e78de5d,420.1514569257971
0d838be0e718ceb786cdb10fcc12559e00440240,479.90442150785833
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,475.25550020257083
5a9d89465845ac2d81366275cbb1a81d627efd36,98.3724175685426
c83fe640ba466ba904ac1055e53a875289888797,456.1590632417045
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,454.4583781666882
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,424.001104358333
328639a0c753715c30a58bae70c82f2101153eb3,434.94230180517593
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,98.3724175685426
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,530.989156692384
f56746cc2900258507d2b32c126f8db090db856f,452.1028433184697
1a4963b5fea8bb25c67750cdafbe84b01efad177,429.458827446911
b520c940e62f4ed684417e7eacf00d85752060da,476.8932611477931
2e170cf2651ed448991af6fc5df15167733b2d8f,477.53789162076623
6efdd93a0ae289be6bb5a400bfc1deb077d75886,426.2955456439057
72ac2acc787d8cba0934cca3810ac091d792c8db,504.35455648313075
92a25eee14554806f081869cc9dac868fd1860fb,438.05156386451097
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,424.88965286385974
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,452.0821326985465
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,512.6638328109908
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,445.2330052128961
1730807e4916c5f7e8ab21e02ac5657bcea3e732,98.3724175685426
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,463.7128630442855
1a46d99716282410d1170f0f35069b34e34415d4,430.84197874573124
0467e022da4ef897f666bc76f31e1bc8976f7e92,460.6564255767507
993aca0d5eac6741117947c82a3647102096255e,451.0821735136294
94c96ade6ade21deb080bba6aad537fc4f195d47,517.7596777839472
36bb672077a46a3e4755cef90437a616d28bdf23,432.44334337918235
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,403.63419610768136
328ca19128d276eb4fbc309c54ec7f346c803d2f,759.5161072324792
27cdb62f0a2a5467efeb30aafbf246ed2320c532,428.32492059220453
c52cae37c3653620bbec72264c502f45ca2a8671,98.3724175685426
